#panelId,nRows,nCols,nExtra,nNames,connectedTo,firstLedId,addressingMode
col1a,16,5,0,80,/dev/tty3,1101,row-major
col1b,22,5,0,110,/dev/tty3,1301,row-major
col1c,18,5,0,90,/dev/tty3,1501,row-major
col2a,16,6,0,96,/dev/tty3,2101,row-major
col2b,22,6,0,132,/dev/tty3,2301,row-major
col2c,18,6,0,108,/dev/tty3,2501,row-major
col3a,16,6,0,96,/dev/tty3,3101,row-major
col3b,22,6,0,132,/dev/tty3,3301,row-major
col3c,18,6,0,108,/dev/tty3,3501,row-major
col4a,16,6,0,96,/dev/tty3,4101,row-major
col4b,22,6,0,132,/dev/tty3,4301,row-major
col4c,18,6,0,108,/dev/tty3,4501,row-major
col5a,16,6,0,96,/dev/tty3,5101,row-major
col5b,22,6,0,132,/dev/tty3,5301,row-major
col5c,18,6,0,108,/dev/tty3,5501,row-major
col6a,16,6,0,96,/dev/tty3,6101,row-major
col6b,22,6,0,132,/dev/tty3,6301,row-major
col6c,18,6,0,108,/dev/tty3,6501,row-major
col7a,16,5,0,80,/dev/tty3,7101,row-major
col7b,22,5,0,110,/dev/tty3,7301,row-major
col7c,18,5,0,90,/dev/tty3,7501,row-major
